0,1,2
1,3,4
1,4,2
2,4,5
3,6,7
3,7,4
4,7,8
4,8,5
5,8,9
6,10,11
6,11,7
7,11,12
7,12,8
8,12,13
8,13,9
9,13,14
10,15,16
10,16,11
11,16,17
11,17,12
12,17,18
12,18,13
13,18,19
13,19,14
14,19,20
15,21,22
15,22,16
16,22,23
16,23,17
17,23,24
17,24,18
18,24,25
18,25,19
19,25,26
19,26,20
20,26,27
21,28,29
21,29,22
22,29,30
22,30,23
23,30,31
23,31,24
24,31,32
24,32,25
25,32,33
25,33,26
26,33,34
26,34,27
27,34,35
28,36,37
28,37,29
29,37,38
29,38,30
30,38,39
30,39,31
31,39,40
31,40,32
32,40,41
32,41,33
33,41,42
33,42,34
34,42,43
34,43,35
35,43,44
36,45,46
36,46,37
37,46,47
37,47,38
38,47,48
38,48,39
39,48,49
39,49,40
40,49,50
40,50,41
41,50,51
41,51,42
42,51,52
42,52,43
43,52,53
43,53,44
44,53,54
45,55,56
45,56,46
46,56,57
46,57,47
47,57,58
47,58,48
48,58,59
48,59,49
49,59,60
49,60,50
50,60,61
50,61,51
51,61,62
51,62,52
52,62,63
52,63,53
53,63,64
53,64,54
54,64,65
55,66,67
55,67,56
56,67,68
56,68,57
57,68,69
57,69,58
58,69,70
58,70,59
59,70,71
59,71,60
60,71,72
60,72,61
61,72,73
61,73,62
62,73,74
62,74,63
63,74,75
63,75,64
64,75,76
64,76,65
65,76,77
66,78,79
66,79,67
67,79,80
67,80,68
68,80,81
68,81,69
69,81,82
69,82,70
70,82,83
70,83,71
71,83,84
71,84,72
72,84,85
72,85,73
73,85,86
73,86,74
74,86,87
74,87,75
75,87,88
75,88,76
76,88,89
76,89,77
77,89,90
78,91,92
78,92,79
79,92,93
79,93,80
80,93,94
80,94,81
81,94,95
81,95,82
82,95,96
82,96,83
83,96,97
83,97,84
84,97,98
84,98,85
85,98,99
85,99,86
86,99,100
86,100,87
87,100,101
87,101,88
88,101,102
88,102,89
89,102,103
89,103,90
90,103,104
91,105,106
91,106,92
92,106,107
92,107,93
93,107,108
93,108,94
94,108,109
94,109,95
95,109,110
95,110,96
96,110,111
96,111,97
97,111,112
97,112,98
98,112,113
98,113,99
99,113,114
99,114,100
100,114,115
100,115,101
101,115,116
101,116,102
102,116,117
102,117,103
103,117,118
103,118,104
104,118,119
105,120,121
105,121,106
106,121,122
106,122,107
107,122,123
107,123,108
108,123,124
108,124,109
109,124,125
109,125,110
110,125,126
110,126,111
111,126,127
111,127,112
112,127,128
112,128,113
113,128,129
113,129,114
114,129,130
114,130,115
115,130,131
115,131,116
116,131,132
116,132,117
117,132,133
117,133,118
118,133,134
118,134,119
119,134,135
120,136,137
120,137,121
121,137,138
121,138,122
122,138,139
122,139,123
123,139,140
123,140,124
124,140,141
124,141,125
125,141,142
125,142,126
126,142,143
126,143,127
127,143,144
127,144,128
128,144,145
128,145,129
129,145,146
129,146,130
130,146,147
130,147,131
131,147,148
131,148,132
132,148,149
132,149,133
133,149,150
133,150,134
134,150,151
134,151,135
135,151,152
136,153,154
136,154,137
137,154,155
137,155,138
138,155,156
138,156,139
139,156,157
139,157,140
140,157,158
140,158,141
141,158,159
141,159,142
142,159,160
142,160,143
143,160,161
143,161,144
144,161,162
144,162,145
145,162,163
145,163,146
146,163,164
146,164,147
147,164,165
147,165,148
148,165,166
148,166,149
149,166,167
149,167,150
150,167,168
150,168,151
151,168,169
151,169,152
152,169,170
153,171,172
153,172,154
154,172,173
154,173,155
155,173,174
155,174,156
156,174,175
156,175,157
157,175,176
157,176,158
158,176,177
158,177,159
159,177,178
159,178,160
160,178,179
160,179,161
161,179,180
161,180,162
162,180,181
162,181,163
163,181,182
163,182,164
164,182,183
164,183,165
165,183,184
165,184,166
166,184,185
166,185,167
167,185,186
167,186,168
168,186,187
168,187,169
169,187,188
169,188,170
170,188,189
171,190,191
171,191,172
172,191,192
172,192,173
173,192,193
173,193,174
174,193,194
174,194,175
175,194,195
175,195,176
176,195,196
176,196,177
177,196,197
177,197,178
178,197,198
178,198,179
179,198,199
179,199,180
180,199,200
180,200,181
181,200,201
181,201,182
182,201,202
182,202,183
183,202,203
183,203,184
184,203,204
184,204,185
185,204,205
185,205,186
186,205,206
186,206,187
187,206,207
187,207,188
188,207,208
188,208,189
189,208,209
190,210,211
190,211,191
191,211,212
191,212,192
192,212,213
192,213,193
193,213,214
193,214,194
194,214,215
194,215,195
195,215,216
195,216,196
196,216,217
196,217,197
197,217,218
197,218,198
198,218,219
198,219,199
199,219,220
199,220,200
200,220,221
200,221,201
201,221,222
201,222,202
202,222,223
202,223,203
203,223,224
203,224,204
204,224,225
204,225,205
205,225,226
205,226,206
206,226,227
206,227,207
207,227,228
207,228,208
208,228,229
208,229,209
209,229,230
210,231,232
210,232,211
211,232,233
211,233,212
212,233,234
212,234,213
213,234,235
213,235,214
214,235,236
214,236,215
215,236,237
215,237,216
216,237,238
216,238,217
217,238,239
217,239,218
218,239,240
218,240,219
219,240,241
219,241,220
220,241,242
220,242,221
221,242,243
221,243,222
222,243,244
222,244,223
223,244,245
223,245,224
224,245,246
224,246,225
225,246,247
225,247,226
226,247,248
226,248,227
227,248,249
227,249,228
228,249,250
228,250,229
229,250,251
229,251,230
230,251,252
231,253,254
231,254,232
232,254,255
232,255,233
233,255,256
233,256,234
234,256,257
234,257,235
235,257,258
235,258,236
236,258,259
236,259,237
237,259,260
237,260,238
238,260,261
238,261,239
239,261,262
239,262,240
240,262,263
240,263,241
241,263,264
241,264,242
242,264,265
242,265,243
243,265,266
243,266,244
244,266,267
244,267,245
245,267,268
245,268,246
246,268,269
246,269,247
247,269,270
247,270,248
248,270,271
248,271,249
249,271,272
249,272,250
250,272,273
250,273,251
251,273,274
251,274,252
252,274,275
253,276,277
253,277,254
254,277,278
254,278,255
255,278,279
255,279,256
256,279,280
256,280,257
257,280,281
257,281,258
258,281,282
258,282,259
259,282,283
259,283,260
260,283,284
260,284,261
261,284,285
261,285,262
262,285,286
262,286,263
263,286,287
263,287,264
264,287,288
264,288,265
265,288,289
265,289,266
266,289,290
266,290,267
267,290,291
267,291,268
268,291,292
268,292,269
269,292,293
269,293,270
270,293,294
270,294,271
271,294,295
271,295,272
272,295,296
272,296,273
273,296,297
273,297,274
274,297,298
274,298,275
275,298,299
276,300,301
276,301,277
277,301,302
277,302,278
278,302,303
278,303,279
279,303,304
279,304,280
280,304,305
280,305,281
281,305,306
281,306,282
282,306,307
282,307,283
283,307,308
283,308,284
284,308,309
284,309,285
285,309,310
285,310,286
286,310,311
286,311,287
287,311,312
287,312,288
288,312,313
288,313,289
289,313,314
289,314,290
290,314,315
290,315,291
291,315,316
291,316,292
292,316,317
292,317,293
293,317,318
293,318,294
294,318,319
294,319,295
295,319,320
295,320,296
296,320,321
296,321,297
297,321,322
297,322,298
298,322,323
298,323,299
299,323,324
300,325,326
300,326,301
301,326,327
301,327,302
302,327,328
302,328,303
303,328,329
303,329,304
304,329,330
304,330,305
305,330,331
305,331,306
306,331,332
306,332,307
307,332,333
307,333,308
308,333,334
308,334,309
309,334,335
309,335,310
310,335,336
310,336,311
311,336,337
311,337,312
312,337,338
312,338,313
313,338,339
313,339,314
314,339,340
314,340,315
315,340,341
315,341,316
316,341,342
316,342,317
317,342,343
317,343,318
318,343,344
318,344,319
319,344,345
319,345,320
320,345,346
320,346,321
321,346,347
321,347,322
322,347,348
322,348,323
323,348,349
323,349,324
324,349,350
325,351,352
325,352,326
326,352,353
326,353,327
327,353,354
327,354,328
328,354,355
328,355,329
329,355,356
329,356,330
330,356,357
330,357,331
331,357,358
331,358,332
332,358,359
332,359,333
333,359,360
333,360,334
334,360,361
334,361,335
335,361,362
335,362,336
336,362,363
336,363,337
337,363,364
337,364,338
338,364,365
338,365,339
339,365,366
339,366,340
340,366,367
340,367,341
341,367,368
341,368,342
342,368,369
342,369,343
343,369,370
343,370,344
344,370,371
344,371,345
345,371,372
345,372,346
346,372,373
346,373,347
347,373,374
347,374,348
348,374,375
348,375,349
349,375,376
349,376,350
350,376,377
351,378,379
351,379,352
352,379,380
352,380,353
353,380,381
353,381,354
354,381,382
354,382,355
355,382,383
355,383,356
356,383,384
356,384,357
357,384,385
357,385,358
358,385,386
358,386,359
359,386,387
359,387,360
360,387,388
360,388,361
361,388,389
361,389,362
362,389,390
362,390,363
363,390,391
363,391,364
364,391,392
364,392,365
365,392,393
365,393,366
366,393,394
366,394,367
367,394,395
367,395,368
368,395,396
368,396,369
369,396,397
369,397,370
370,397,398
370,398,371
371,398,399
371,399,372
372,399,400
372,400,373
373,400,401
373,401,374
374,401,402
374,402,375
375,402,403
375,403,376
376,403,404
376,404,377
377,404,405
378,406,407
378,407,379
379,407,408
379,408,380
380,408,409
380,409,381
381,409,410
381,410,382
382,410,411
382,411,383
383,411,412
383,412,384
384,412,413
384,413,385
385,413,414
385,414,386
386,414,415
386,415,387
387,415,416
387,416,388
388,416,417
388,417,389
389,417,418
389,418,390
390,418,419
390,419,391
391,419,420
391,420,392
392,420,421
392,421,393
393,421,422
393,422,394
394,422,423
394,423,395
395,423,424
395,424,396
396,424,425
396,425,397
397,425,426
397,426,398
398,426,427
398,427,399
399,427,428
399,428,400
400,428,429
400,429,401
401,429,430
401,430,402
402,430,431
402,431,403
403,431,432
403,432,404
404,432,433
404,433,405
405,433,434
406,435,436
406,436,407
407,436,437
407,437,408
408,437,438
408,438,409
409,438,439
409,439,410
410,439,440
410,440,411
411,440,441
411,441,412
412,441,442
412,442,413
413,442,443
413,443,414
414,443,444
414,444,415
415,444,445
415,445,416
416,445,446
416,446,417
417,446,447
417,447,418
418,447,448
418,448,419
419,448,449
419,449,420
420,449,450
420,450,421
421,450,451
421,451,422
422,451,452
422,452,423
423,452,453
423,453,424
424,453,454
424,454,425
425,454,455
425,455,426
426,455,456
426,456,427
427,456,457
427,457,428
428,457,458
428,458,429
429,458,459
429,459,430
430,459,460
430,460,431
431,460,461
431,461,432
432,461,462
432,462,433
433,462,463
433,463,434
434,463,464
435,465,466
435,466,436
436,466,467
436,467,437
437,467,468
437,468,438
438,468,469
438,469,439
439,469,470
439,470,440
440,470,471
440,471,441
441,471,472
441,472,442
442,472,473
442,473,443
443,473,474
443,474,444
444,474,475
444,475,445
445,475,476
445,476,446
446,476,477
446,477,447
447,477,478
447,478,448
448,478,479
448,479,449
449,479,480
449,480,450
450,480,481
450,481,451
451,481,482
451,482,452
452,482,483
452,483,453
453,483,484
453,484,454
454,484,485
454,485,455
455,485,486
455,486,456
456,486,487
456,487,457
457,487,488
457,488,458
458,488,489
458,489,459
459,489,490
459,490,460
460,490,491
460,491,461
461,491,492
461,492,462
462,492,493
462,493,463
463,493,494
463,494,464
464,494,495
465,496,497
465,497,466
466,497,498
466,498,467
467,498,499
467,499,468
468,499,500
468,500,469
469,500,501
469,501,470
470,501,502
470,502,471
471,502,503
471,503,472
472,503,504
472,504,473
473,504,505
473,505,474
474,505,506
474,506,475
475,506,507
475,507,476
476,507,508
476,508,477
477,508,509
477,509,478
478,509,510
478,510,479
479,510,511
479,511,480
480,511,512
480,512,481
481,512,513
481,513,482
482,513,514
482,514,483
483,514,515
483,515,484
484,515,516
484,516,485
485,516,517
485,517,486
486,517,518
486,518,487
487,518,519
487,519,488
488,519,520
488,520,489
489,520,521
489,521,490
490,521,522
490,522,491
491,522,523
491,523,492
492,523,524
492,524,493
493,524,525
493,525,494
494,525,526
494,526,495
495,526,527
496,528,529
496,529,497
497,529,530
497,530,498
498,530,531
498,531,499
499,531,532
499,532,500
500,532,533
500,533,501
501,533,534
501,534,502
502,534,535
502,535,503
503,535,536
503,536,504
504,536,537
504,537,505
505,537,538
505,538,506
506,538,539
506,539,507
507,539,540
507,540,508
508,540,541
508,541,509
509,541,542
509,542,510
510,542,543
510,543,511
511,543,544
511,544,512
512,544,545
512,545,513
513,545,546
513,546,514
514,546,547
514,547,515
515,547,548
515,548,516
516,548,549
516,549,517
517,549,550
517,550,518
518,550,551
518,551,519
519,551,552
519,552,520
520,552,553
520,553,521
521,553,554
521,554,522
522,554,555
522,555,523
523,555,556
523,556,524
524,556,557
524,557,525
525,557,558
525,558,526
526,558,559
526,559,527
527,559,560
528,561,562
528,562,529
529,562,563
529,563,530
530,563,564
530,564,531
531,564,565
531,565,532
532,565,566
532,566,533
533,566,567
533,567,534
534,567,568
534,568,535
535,568,569
